routing_status,count,mean,median,min,max
accepted,8646,0.9074110410054811,0.9254302103250478,0.0,0.990228013029316
ambiguous,512,0.5112197798436575,0.8291571753986332,0.0,0.9710526315789474
gray_zone,320,0.2981416528670771,0.0,0.0,0.9622331691297209
new_identity,0,,,,
